ID,Name,Start Date,End Date,Termination Type,Department,Location
93230243,Mrs. Ashley Mooney,2022-09-12,,,Customer Service,New York (New York)
64205128,Peter Allen,2022-10-20,2023-04-17,Voluntary,Marketing,San Diego (California)
45667652,Brittany Farmer,2021-02-13,2023-06-28,Involuntary,IT,PA - Philadelphia
00771826,William Werner,2022-03-03,2023-03-24,Voluntary,Marketing,"Los Angeles, CA"
83029220,Laura Ritter,2021-04-05,,,Engineering,Philadelphia (Pennsylvania)
18634798,Richard Rogers,2022-09-07,2022-10-02,Involuntary,Accounting,"Phoenix, AZ"
15372342,Donald Medina,2023-02-12,,,Engineering,"San Antonio, TX"
77981604,Melissa Combs,2021-02-18,,,Engineering,San Diego (California)
38704727,Kenneth French,2019-06-10,,,Marketing,"Houston, TX"
61643899,Carol Harris,2023-04-24,,,Customer Service,Chicago (IL)
83698994,Glenn Ward,2021-07-21,,,Marketing,"New York, NY"
36597196,Melissa Wise,2022-01-27,2022-07-24,Voluntary,Customer Service,"Chicago, IL"
18892087,Robert Rogers,2020-05-08,2022-03-19,Voluntary,Engineering,"Phoenix, AZ"
45748677,Derek Hall,2023-08-02,,,Sales,"Los Angeles, California"
43928919,David Cruz,2019-04-24,,,Customer Service,Texas - San Antonio
26364648,Eric Flores,2019-09-11,2020-01-13,Voluntary,Accounting,San Diego (CA)
75040304,Traci Rodriguez,2020-12-21,,,Marketing,Los Angeles (California)
47284778,Anthony Cook,2022-02-28,2023-06-08,Involuntary,Sales,"Los Angeles, CA"
93959819,Andrea Brown,2023-02-28,2023-03-11,Involuntary,Engineering,"Houston, Texas"
49772649,Carol Bowman,2020-06-27,2021-12-26,Involuntary,Accounting,Houston (Texas)
47756171,Samuel Mata,2020-11-11,,,IT,San Diego (CA)
80268080,Joel Gonzales,2020-09-24,,,Engineering,"Dallas, Texas"
35481412,Chad King,2019-04-05,,,Engineering,"New York, NY"
20182767,Eugene Martinez,2021-09-28,,,Engineering,Dallas (Texas)
95164281,Hannah Anderson,2023-09-08,2023-12-20,Voluntary,Accounting,New York (New York)
26315160,Daniel Matthews,2019-02-18,,,Engineering,"Dallas, TX"
96788220,Stephen Duncan,2019-01-27,,,Engineering,Los Angeles (California)
66632539,Michelle Jones,2021-08-22,2022-05-09,Voluntary,IT,CA - San Diego
91188949,Bonnie Carter,2020-09-10,2023-09-07,Voluntary,IT,"San Jose, California"
52868862,Melissa Bowen,2023-11-17,,,Engineering,"San Diego, CA"
64040813,Robert Miller,2021-07-31,,,Accounting,"Dallas, Texas"
75263693,Sharon Rogers,2020-11-03,2022-05-27,Involuntary,Marketing,"San Antonio, Texas"
13769361,Ashley King,2021-02-12,2023-01-30,Involuntary,Customer Service,IL - Chicago
14368702,Melissa Oneill,2021-06-24,2023-08-13,Involuntary,Accounting,"San Jose, CA"
20456314,Corey Barrera,2020-06-20,2021-04-01,Voluntary,Marketing,"New York, NY"
73614225,David Owen,2022-01-18,,,Marketing,Dallas (TX)
36619574,Nicolas Brown,2021-11-30,2022-02-19,Voluntary,IT,Philadelphia (PA)
07003455,Ryan Hardy,2019-08-23,,,Marketing,"Dallas, Texas"
08891571,Erin Long,2023-02-14,,,Customer Service,"Houston, Texas"
10820220,Joshua Cunningham,2022-04-12,2022-06-10,Involuntary,IT,Phoenix (Arizona)
58917832,Linda Newman,2019-11-18,2020-01-13,Voluntary,IT,New York (NY)
83558633,Christina Murray,2019-04-08,,,Accounting,San Diego (California)
90834067,Alexander Martin,2021-06-07,2022-04-06,Involuntary,Sales,"Chicago, IL"
72374754,Mrs. Kristen Reyes,2019-03-07,2019-07-17,Voluntary,Accounting,"Los Angeles, CA"
77002405,Tyler Patel,2019-02-17,,,IT,NY - New York
77888307,Kyle Armstrong,2023-09-18,,,Engineering,California - San Jose
80541749,Ronald Martinez,2021-03-05,2023-01-21,Voluntary,Accounting,"Philadelphia, PA"
38374807,Crystal Smith,2019-04-15,2022-03-17,Involuntary,Sales,"San Diego, California"
63739006,Martin Hall,2022-07-06,,,Engineering,"San Diego, California"
70557677,Eric Russell,2021-01-25,2022-09-18,Voluntary,Engineering,San Jose (CA)
62916372,Jeremy Brown,2019-06-30,,,Engineering,Houston (TX)
06105859,Heather Hernandez,2020-04-21,2021-05-27,Involuntary,IT,San Jose (California)
42213779,Andrew Roberts,2023-05-25,2023-12-15,Voluntary,Sales,"Philadelphia, Pennsylvania"
65314743,Angela May MD,2019-12-16,2020-04-12,Voluntary,Accounting,San Antonio (TX)
93877432,Penny Fernandez,2023-11-30,2023-12-03,Involuntary,Engineering,"Chicago, IL"
43191536,Joshua Mitchell,2020-07-26,,,IT,"New York, New York"
15458309,Daniel Campbell,2022-10-17,,,IT,Los Angeles (California)
23357555,Gregory Peck,2020-11-03,,,Engineering,New York (NY)
12315508,Julie Anderson,2020-07-12,,,Marketing,Chicago (IL)
60369366,Cheryl Newman,2020-10-21,,,Marketing,Houston (TX)
05355918,Kimberly Alvarez,2022-03-19,,,Accounting,NY - New York
16059097,David Skinner,2022-05-29,,,IT,Houston (Texas)
25481282,William Paul,2023-08-25,,,Customer Service,Chicago (Illinois)
89213704,Lisa Hernandez,2021-08-09,2023-08-13,Voluntary,Marketing,San Jose (CA)
17084280,Thomas Peterson,2023-06-02,2023-06-26,Involuntary,Accounting,"Dallas, Texas"
08949618,Maria Parsons,2022-12-01,2023-06-17,Involuntary,Engineering,Chicago (Illinois)
93172855,Lori Jordan,2019-12-01,,,Accounting,Philadelphia (PA)
14672185,Sean Mendez,2023-10-06,2023-12-31,Involuntary,IT,"San Jose, CA"
37663634,Holly Banks,2019-09-17,,,Accounting,San Diego (California)
95313696,Sarah Sanchez,2020-09-12,,,IT,Philadelphia (Pennsylvania)
44349362,Olivia Harris,2019-03-23,2023-05-14,Involuntary,Accounting,New York (New York)
51091555,Paul Cabrera,2022-12-13,2022-12-24,Involuntary,Accounting,"Chicago, Illinois"
88227304,Gina Wallace,2022-09-30,,,Sales,Chicago (IL)
28280206,Lori Franco,2023-02-23,,,Sales,Chicago (Illinois)
73905990,Jennifer Griffin,2020-12-30,2023-07-08,Involuntary,Engineering,Chicago (IL)
05288945,Selena Bailey,2020-08-06,,,Sales,"Houston, Texas"
55692630,Candace Mitchell,2021-10-16,,,Marketing,"Philadelphia, Pennsylvania"
65759023,George Vaughan,2021-12-26,,,IT,"Los Angeles, California"
42916050,Christina Martin,2021-05-11,,,Engineering,"Phoenix, Arizona"
41542844,Tiffany Mcgee,2019-01-22,2023-05-06,Voluntary,Marketing,"New York, New York"
32862210,Colleen Wright,2019-01-15,,,Marketing,IL - Chicago
90042683,Raymond Powell,2019-06-26,,,Sales,"New York, NY"
13740580,Christina Miles,2020-01-31,,,Marketing,"San Diego, California"
65390880,Nicole Anderson,2023-04-06,,,Marketing,California - Los Angeles
90814701,Jamie Love,2021-12-19,,,Customer Service,"Phoenix, Arizona"
42222215,Stephen Parks,2021-06-24,2022-07-29,Voluntary,Marketing,Houston (TX)
65846625,Kevin Rose,2022-03-03,2023-03-05,Voluntary,Engineering,"Dallas, Texas"
66755909,Tammy Garcia,2020-12-20,,,Marketing,San Antonio (TX)
33875272,Gail Johnson MD,2022-10-15,2023-11-04,Voluntary,Engineering,CA - San Jose
79328733,James Jones,2022-07-02,2023-01-08,Involuntary,Sales,"Phoenix, Arizona"
43537935,Rebecca Patel,2022-11-01,,,Customer Service,IL - Chicago
21931512,Aaron Wise,2020-03-16,2020-11-11,Voluntary,Accounting,"San Antonio, TX"
31690502,Ashley Mills,2022-11-25,2023-07-14,Involuntary,Sales,"Philadelphia, PA"
00613381,Jennifer Garcia,2019-09-22,,,Customer Service,"Dallas, Texas"
62816685,Brittney Martinez,2022-01-27,2023-07-11,Involuntary,Customer Service,"New York, New York"
67005686,Jeffrey Chandler,2021-09-01,,,Customer Service,New York (New York)
32342203,Kurt Daniels,2020-06-04,,,Engineering,San Jose (California)
76107236,Sara Barrett,2022-12-17,,,IT,"New York, New York"
79089902,Nathan Maldonado,2020-01-11,2020-09-10,Voluntary,Marketing,San Antonio (TX)
04484589,Andrea Garcia,2023-03-26,,,Marketing,"Dallas, Texas"
95180346,Timothy Sexton,2023-07-20,,,Accounting,"New York, NY"
78667528,John Browning,2020-12-10,2022-04-02,Voluntary,Sales,"San Diego, California"
65998331,Jessica Wilson,2022-06-09,,,IT,Arizona - Phoenix
58326161,Donna Frye,2023-01-03,2023-07-17,Involuntary,Sales,Pennsylvania - Philadelphia
39597486,Nichole Klein,2021-09-06,2023-09-21,Voluntary,Engineering,"San Antonio, Texas"
86213227,John Russell,2022-02-13,2023-11-19,Involuntary,Accounting,Phoenix (Arizona)
95532643,Dennis Arnold,2019-10-13,2023-12-16,Involuntary,Engineering,"Los Angeles, CA"
95232913,Jennifer Baker,2019-07-12,,,Customer Service,Phoenix (AZ)
11037000,Christopher Wheeler,2021-11-25,,,Accounting,"San Jose, CA"
60769390,Erin Nash,2023-06-07,2023-12-10,Voluntary,Marketing,NY - New York
26000524,Danielle Carter,2019-03-20,2023-12-10,Involuntary,Marketing,"Chicago, IL"
36912023,Monica Cannon,2019-05-10,,,Accounting,"Houston, Texas"
29587040,James Ferrell,2023-10-29,,,Accounting,Chicago (Illinois)
88502179,Kelly Romero,2022-10-10,,,Marketing,"Phoenix, AZ"
07224329,Richard Reynolds,2021-10-19,2022-03-10,Voluntary,Engineering,San Jose (CA)
73140808,Anthony Rodriguez,2022-05-22,,,Accounting,"Philadelphia, PA"
48816329,Mitchell Daniels,2019-05-16,,,Customer Service,Chicago (Illinois)
40305911,John Clark,2019-01-09,,,IT,"Houston, Texas"
13542128,Rhonda Pena,2020-06-13,,,Engineering,"Houston, TX"
56851378,Jason Rhodes,2020-08-30,2021-05-31,Involuntary,Accounting,Houston (TX)
07507865,Sharon Cherry,2022-02-12,,,Marketing,"Houston, TX"
99063778,Chris Lewis,2021-12-08,2023-06-14,Involuntary,Customer Service,Dallas (Texas)
30884938,Robert Green,2020-09-05,,,Accounting,CA - San Diego
41374958,Angela Ramirez,2019-07-26,2021-11-28,Involuntary,Engineering,New York (NY)
18024249,Gwendolyn Klein,2022-08-22,,,Marketing,"Dallas, TX"
46612336,Patricia Cannon,2020-08-07,,,Accounting,"San Diego, CA"
86355514,David Martinez,2022-12-16,2023-01-06,Involuntary,Customer Service,"Phoenix, Arizona"
20501645,Shelly Horton,2023-08-10,,,Marketing,Arizona - Phoenix
39000920,Victor Yates,2021-06-23,,,Engineering,Houston (Texas)
79520598,Elizabeth Holmes,2023-04-12,,,Customer Service,"Dallas, Texas"
49797532,Casey Terrell,2022-03-09,,,IT,Pennsylvania - Philadelphia
87438350,Mrs. Heather Christensen,2023-07-29,2023-11-17,Voluntary,Engineering,NY - New York
38285149,Blake Mitchell,2021-10-04,2022-09-02,Involuntary,Marketing,"Philadelphia, Pennsylvania"
15151445,James Williams,2020-07-26,2023-10-18,Voluntary,Customer Service,San Antonio (Texas)
09629585,Richard Young,2023-06-22,,,Customer Service,Houston (TX)
97524624,Sarah Garner,2020-08-28,2021-08-02,Voluntary,Marketing,"Los Angeles, California"
92495743,Charles Moore,2021-08-25,2023-06-29,Involuntary,Engineering,Pennsylvania - Philadelphia
43299560,Julie Jordan,2021-05-12,2023-06-17,Involuntary,Engineering,New York (New York)
95658505,Carrie Stafford,2019-12-02,,,Accounting,San Jose (California)
74912499,Robert James,2020-05-30,,,IT,Texas - Houston
29598970,Vanessa Flores,2022-08-15,2022-12-24,Involuntary,Sales,"Philadelphia, Pennsylvania"
36562846,Lisa Potter,2023-12-24,2023-12-26,Voluntary,Engineering,"Chicago, Illinois"
68805755,Amanda Moody,2023-10-02,,,Accounting,California - San Jose
55825347,Catherine Barker,2021-06-18,,,Engineering,"New York, New York"
91064884,Benjamin Smith,2021-03-24,2022-12-16,Involuntary,IT,San Antonio (TX)
83650069,Louis Patrick,2019-03-26,,,Customer Service,Dallas (Texas)
86750369,William Prince PhD,2020-10-18,2023-09-22,Involuntary,Marketing,"New York, NY"
69519113,Molly Rodriguez,2022-06-01,,,Engineering,Philadelphia (PA)
16888276,Shirley Lucas,2020-06-25,,,Engineering,"Dallas, Texas"
28737175,Stephanie Harris,2021-04-19,,,Sales,"Philadelphia, PA"
25921442,Rebecca Hicks,2022-05-25,,,Marketing,TX - Dallas
63502928,Maurice Johnson,2021-10-07,2022-12-19,Voluntary,IT,Illinois - Chicago
86525669,Timothy Gibson,2020-09-24,2023-04-27,Voluntary,Sales,"Phoenix, Arizona"
24679819,Jason Bell,2022-10-21,2023-02-09,Voluntary,Customer Service,"New York, NY"
36960685,Richard Goodman,2019-12-12,,,Marketing,"Houston, Texas"
36850197,Mr. Logan Gregory,2019-01-12,2021-02-01,Voluntary,Accounting,"Chicago, IL"
00856025,Loretta Williams,2019-05-21,,,Marketing,AZ - Phoenix
97926934,Jesse Wright,2020-03-10,2022-03-10,Voluntary,Sales,"Philadelphia, Pennsylvania"
53747465,Randy Robinson,2022-01-12,,,Engineering,"Houston, TX"
58646622,Richard Mitchell,2022-09-28,,,Customer Service,San Antonio (TX)
66034588,Kathryn Morgan,2021-08-24,,,Customer Service,"New York, New York"
74939695,Douglas Santos,2021-01-31,2021-07-08,Involuntary,Customer Service,"Philadelphia, Pennsylvania"
40446608,Krista White,2020-09-15,,,IT,"Phoenix, Arizona"
19310254,Dylan Baker,2021-05-17,,,Customer Service,"San Jose, CA"
12120706,Andrea Jenkins,2023-03-10,,,Marketing,Arizona - Phoenix
29013197,Brent Lopez,2021-12-06,,,IT,"San Diego, California"
04497676,Kenneth Johnson,2019-09-30,2022-01-01,Involuntary,Engineering,CA - Los Angeles
32445507,Yolanda Keith,2023-06-19,,,Customer Service,"San Diego, California"
52523473,Eric Parker,2019-05-25,2021-04-07,Voluntary,Accounting,"San Diego, California"
97630258,Shawn Luna,2022-11-26,,,IT,Pennsylvania - Philadelphia
12243984,Scott Stephens,2021-11-30,2022-12-25,Voluntary,Customer Service,San Antonio (Texas)
20594122,Theresa Colon,2021-04-14,2022-04-04,Involuntary,Engineering,"Phoenix, AZ"
21139814,Darin Baker,2021-10-23,2022-01-19,Involuntary,Sales,Texas - San Antonio
15568501,Tracy Frost,2023-03-17,,,Engineering,"San Antonio, Texas"
80042178,Taylor Howard,2023-12-04,2023-12-16,Voluntary,Customer Service,New York (New York)
30838738,Jeffery Johnson,2020-12-05,2023-08-08,Voluntary,IT,"Chicago, Illinois"
00822925,Brian Nichols,2021-11-15,,,Sales,"San Antonio, TX"
27828933,Kelly Pena,2023-02-20,2023-09-11,Involuntary,IT,Philadelphia (PA)
74270584,Thomas Harris,2020-04-26,2022-08-26,Involuntary,IT,"Los Angeles, California"
06164432,Joseph Hawkins,2021-08-19,2023-12-19,Voluntary,IT,New York (NY)
62363360,Kyle Chambers,2022-04-27,2022-11-19,Voluntary,Accounting,Texas - Dallas
18536763,Casey Hardy,2020-03-01,,,Customer Service,"Los Angeles, CA"
52342587,Anthony James DVM,2019-04-21,2022-03-25,Involuntary,IT,"Chicago, Illinois"
93076128,Megan Anderson,2022-02-09,2022-11-10,Involuntary,Marketing,TX - Houston
48039456,Hector Bryant,2021-10-13,2023-10-18,Involuntary,Sales,"San Diego, CA"
45114544,Edgar Hughes,2023-04-01,,,Accounting,"Chicago, IL"
91471635,Debra Gonzalez,2019-06-12,2019-12-08,Voluntary,Marketing,"New York, New York"
76778236,Jonathan Russell,2020-06-17,,,Engineering,"San Jose, California"
24684476,John Hernandez,2023-04-21,2023-09-23,Voluntary,Marketing,"San Antonio, Texas"
29624911,Omar Weeks,2023-11-04,,,Accounting,"San Jose, CA"
29597484,Cynthia Shaw,2023-07-29,2023-08-23,Voluntary,Customer Service,"Phoenix, Arizona"
76010331,David Jones,2019-10-22,2023-02-16,Voluntary,Engineering,Illinois - Chicago
39684513,Richard Flynn,2023-07-22,2023-10-17,Involuntary,Customer Service,San Antonio (TX)
06144234,Christopher Macdonald,2023-12-30,2023-12-30,Voluntary,IT,Houston (TX)
39945151,Timothy Galvan,2021-10-23,,,IT,Philadelphia (PA)
78378722,Sharon Stevens,2021-07-14,,,Customer Service,"Los Angeles, CA"
31157841,Sarah Frederick,2023-10-03,2023-10-31,Voluntary,Customer Service,New York (NY)
46315280,Lauren Marshall,2021-06-28,,,Accounting,San Antonio (Texas)
91152881,Laura Jackson,2020-12-23,,,Engineering,Dallas (Texas)
47665947,Spencer Kelly,2023-10-11,2023-10-28,Involuntary,IT,"Phoenix, AZ"
09010481,Marcus King,2023-07-02,2023-12-18,Voluntary,Customer Service,"San Jose, CA"
21831064,Kelly Donovan,2020-04-18,2021-05-10,Voluntary,Accounting,"Houston, TX"
73245899,Stephanie Lara,2019-09-08,,,Customer Service,New York (NY)
87909065,James Anderson,2020-03-14,,,Sales,"New York, New York"
03908069,Angel Smith,2022-05-10,2023-07-24,Voluntary,Marketing,"San Jose, CA"
43647782,Leah Owens,2022-12-15,2023-06-01,Involuntary,Sales,Pennsylvania - Philadelphia
49512273,Jerry Brown,2019-03-16,2019-12-12,Involuntary,Marketing,"Phoenix, AZ"
22969841,Denise Jacobs,2019-03-07,2021-07-13,Voluntary,Customer Service,Chicago (Illinois)
56975381,Jeffery Davis,2019-07-14,2020-12-13,Involuntary,Marketing,"Dallas, Texas"
91610493,Dana Savage,2020-01-02,,,Marketing,San Diego (California)
53156841,Connie Thomas,2022-01-14,2023-06-17,Voluntary,Engineering,California - San Jose
20361928,Victoria Berry,2022-09-19,,,Sales,Illinois - Chicago
23834880,Mary Lee,2020-09-07,2021-02-16,Involuntary,Accounting,Texas - Dallas
94062274,Ashley Miller,2022-08-12,,,IT,"San Diego, California"
97332903,Michael Wilson,2019-03-18,,,Customer Service,Chicago (IL)
87529406,Maria Parker,2023-12-25,2023-12-26,Involuntary,Accounting,Los Angeles (California)
63584864,Sara Cain,2019-03-21,2020-05-23,Voluntary,Accounting,CA - San Jose
35495030,Phillip Miller,2019-08-09,2022-12-06,Voluntary,Marketing,"Phoenix, Arizona"
03181024,Duane Clark,2020-11-23,2021-03-26,Voluntary,IT,"San Jose, CA"
88237349,Donna Hernandez,2022-09-03,,,IT,"Los Angeles, CA"
76762165,Miss Kelly Dawson,2022-08-09,,,Customer Service,"San Diego, California"
87139444,Derrick Espinoza,2023-06-08,2023-07-28,Involuntary,Accounting,"Phoenix, Arizona"
43805533,Cynthia Jones,2023-04-01,,,Accounting,"San Diego, California"
27868463,Michelle Smith,2022-03-16,2023-09-21,Voluntary,Engineering,San Jose (California)
88610234,Paul Swanson,2019-06-12,,,Accounting,"Los Angeles, California"
61070190,Charles Shah,2022-03-31,2022-04-22,Involuntary,Engineering,NY - New York
38508908,Laurie Sanchez,2021-01-11,2023-11-15,Involuntary,Sales,Los Angeles (California)
09735028,Michael Smith,2023-01-09,,,Marketing,"Philadelphia, Pennsylvania"
43038944,Nicholas Lowery,2019-04-13,2023-01-09,Involuntary,Marketing,"San Jose, CA"
79047552,Tammy Jacobs,2023-03-22,,,Engineering,Dallas (TX)
33634473,Jeffery Davis,2020-07-11,,,Sales,"Philadelphia, Pennsylvania"
06416149,Morgan Bernard,2023-07-21,2023-11-17,Involuntary,IT,"San Antonio, Texas"
68371273,Penny Bowman,2020-05-19,,,Customer Service,"Los Angeles, California"
77701201,Parker Cain,2023-12-25,2023-12-30,Voluntary,Engineering,Los Angeles (California)
86977838,Lisa Archer,2020-05-17,,,Sales,"San Jose, CA"
84328499,Cindy Lang MD,2019-07-13,,,Marketing,TX - Dallas
59895767,Donna Dunn,2021-12-29,2022-11-04,Voluntary,Accounting,San Diego (California)
61045701,David Hinton,2021-02-13,2022-06-13,Voluntary,Marketing,"San Diego, CA"
34152670,Sara Thomas,2021-05-04,,,Sales,"Los Angeles, CA"
38141361,Charlotte Roy,2021-07-30,,,IT,Dallas (TX)
18358199,Brittney Rodriguez,2020-05-07,2022-09-23,Voluntary,IT,"Los Angeles, CA"
33511113,Dale Beck,2019-04-23,2023-04-04,Involuntary,Accounting,"San Diego, California"
05668333,Sarah Gomez MD,2020-08-15,,,Engineering,Arizona - Phoenix
51401478,Samantha Zavala MD,2021-06-22,,,Accounting,"Los Angeles, California"
47367388,Andrea Bryant,2023-03-25,2023-06-12,Voluntary,Marketing,"Chicago, Illinois"
98894125,Renee Johnson,2020-08-12,2021-03-18,Involuntary,Accounting,"Phoenix, AZ"
91896539,Walter Hansen,2019-09-06,2021-01-28,Involuntary,Engineering,"San Diego, CA"
55548634,Matthew Harris,2021-08-06,,,IT,San Antonio (Texas)
84176529,James Pope,2023-04-17,2023-10-08,Involuntary,Customer Service,"San Diego, CA"
88470373,Colin Vega Jr.,2020-09-07,2020-12-03,Voluntary,IT,"San Diego, CA"
10760290,Tony Wilson,2022-06-16,2023-09-17,Involuntary,Customer Service,"Philadelphia, Pennsylvania"
05095408,Jason Smith,2020-06-17,2023-11-15,Voluntary,Accounting,CA - San Jose
09863757,Joshua Clark,2020-10-05,,,Accounting,"San Jose, California"
11375217,Dalton Davis,2020-06-19,,,IT,"New York, New York"
49357132,Stacy Chen,2023-04-25,,,Customer Service,"Phoenix, AZ"
69273351,Stanley Cain,2021-11-06,2022-10-05,Voluntary,Sales,"Chicago, Illinois"
60201635,Melissa Goodman,2023-04-10,,,Accounting,"Los Angeles, California"
04308422,Evelyn Galvan,2019-02-19,2021-07-16,Involuntary,Marketing,Houston (Texas)
86300903,Timothy Williams,2020-08-16,,,IT,Dallas (Texas)
93717533,Amber Walker,2019-11-21,,,Engineering,"Houston, Texas"
75236333,Joshua Jones,2019-09-17,2020-04-28,Voluntary,Engineering,Philadelphia (Pennsylvania)
44265499,Nathan Wilson,2023-09-02,,,Accounting,"Los Angeles, California"
21810618,Steve Paul,2022-06-10,,,Customer Service,"Houston, TX"
86838850,Allison Hill,2019-07-02,,,Accounting,San Jose (California)
34834492,Julia Green,2019-01-26,,,IT,New York (New York)
65345453,Kristin Hudson,2023-09-05,2023-10-18,Involuntary,Sales,Chicago (Illinois)
71285952,Sarah Martin,2023-04-19,2023-08-10,Voluntary,Marketing,"San Jose, CA"
28765354,Mary Lewis,2021-08-17,2023-10-12,Voluntary,Accounting,"New York, New York"
56813150,Rachel Yang,2022-01-31,2023-12-08,Involuntary,Customer Service,"Chicago, Illinois"
26320003,Daniel Mercado,2020-06-11,,,IT,Los Angeles (California)
86688656,Robert Valdez,2022-03-08,,,Engineering,"Dallas, Texas"
78762522,Stephanie Santiago,2021-07-19,,,Engineering,San Jose (CA)
51399350,Jonathan Taylor,2019-04-04,,,Sales,Dallas (TX)
00888370,Heather Meadows,2022-09-06,,,Accounting,"Philadelphia, Pennsylvania"
80147574,Zachary Ramos,2021-12-13,2022-07-21,Voluntary,Customer Service,"Dallas, Texas"
23306945,Juan Davis,2021-04-08,,,Marketing,"Dallas, Texas"
95772931,Kelly Little,2021-02-28,2022-02-04,Involuntary,Customer Service,"Philadelphia, PA"
32725928,Wesley Bowers,2020-10-25,,,Accounting,"Houston, TX"
09067691,Jessica Mora,2020-10-20,,,Accounting,New York (New York)
92632185,Joel Jackson,2022-11-15,2023-03-09,Involuntary,IT,TX - Houston
70499223,Adam Smith,2019-01-01,2020-05-05,Involuntary,Marketing,"Dallas, Texas"
62464470,Susan Barnes,2021-11-16,,,IT,"New York, New York"
65082046,Alicia Krueger,2021-08-16,,,Engineering,Philadelphia (Pennsylvania)
